package_name,repo_url,changelog_file,migration_file,readme_breaking_file,breaking_change_in_releases,other_files,event_exist,reason,external,ext
hardhat-toolbox,https://github.com/nomicfoundation/hardhat,packages/hardhat-core/CHANGELOG.md,,,TRUE,,TRUE,,,
whatwg-url,https://github.com/jsdom/whatwg-url,,,,TRUE,,TRUE,,,
parse-json,https://github.com/sindresorhus/parse-json,,,,TRUE,,,,,
joi,https://github.com/hapijs/joi,,,,FALSE,,TRUE,,,https://joi.dev/resources/changelog/
react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,,docs/support/upgrading.md,,TRUE,,,,,
array-union,https://github.com/sindresorhus/array-union,,,,TRUE,,,,,
hoek,https://github.com/hapijs/hoek,,,,FALSE,,TRUE,,,
ajv-formats,https://github.com/ajv-validator/ajv-formats,,,,TRUE,,,,,
cli-table3,https://github.com/cli-table/cli-table3,CHANGELOG.md,,,TRUE,,TRUE,,,
cac,https://github.com/egoist/cac,,,,TRUE,,,,,
gulp-livereload,https://github.com/vohof/gulp-livereload,CHANGELOG.md,,,FALSE,,,,,
fancy-log,https://github.com/gulpjs/fancy-log,CHANGELOG.md,,,TRUE,,,,,
envify,https://github.com/hughsk/envify,,,,FALSE,,,no,,
jspdf,https://github.com/MrRio/jsPDF,,,,TRUE,,,,,
pirates,https://github.com/danez/pirates,,,,TRUE,,,,,
dirty-chai,https://github.com/prodatakey/dirty-chai,,,,FALSE,,,no,,
react-native-screens,https://github.com/software-mansion/react-native-screens,,,,TRUE,,TRUE,,,
es-abstract,https://github.com/ljharb/es-abstract,CHANGELOG.md,,,FALSE,,,,,
jose,https://github.com/panva/jose,CHANGELOG.md,,,TRUE,,,,,
bufferutil,https://github.com/websockets/bufferutil,,,,FALSE,,,no,,
plugin-proposal-private-methods,https://github.com/babel/babel,CHANGELOG.md,,,TRUE,,TRUE,,,
shell-quote,https://github.com/ljharb/shell-quote,CHANGELOG.md,,,FALSE,,,,,
user-home,https://github.com/sindresorhus/user-home,,,,FALSE,,,no,,
